ISBN,タイトル,タイトルカナ,サブタイトル,巻,作者1,作者1カナ,作者2,作者2カナ,その他の作者,分類コード,分類,発行所,レーベル,シリーズ,サイズ,リンク,備考1,備考2,,購入/未購入,定価,消費税,購入価格,消費税,初版発行日:年,初版発行日:月,初版発行日:日,版,発行:年,発行:月,発行:日,発売予定日:年,発売予定日:月,発売予定日:日,ページ数,内容,画像,備考1,備考2,,保管場所,貸出場所,貸出日:年,貸出日:月,貸出日:日,既読/未読,読書開始日:年,読書開始日:月,読書開始日:日,読書終了日:年,読書終了日:月,読書終了日:日,備考1:年,備考1:月,備考1:日,備考2:年,備考2:月,備考2:日,備考3:年,備考3:月,備考3:日,備考4:年,備考4:月,備考4:日,備考5,備考6,備考7,,,
978-4062577687,"ロボットはなぜ生き物に似てしまうのか―工学に立ちはだかる「究極の力学構造」 (ブルーバックス)",,,"ONLY ONE","鈴森 康一",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4062577682?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,2620,0,,0,2012,04,20,,,,,2012,04,20,240,,https://m.media-amazon.com/images/I/518GHEijUYL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062579049,"デジタル・アーカイブの最前線 (ブルーバックス)",,,"ONLY ONE","時実 象一",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4062579049?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,2743,0,,0,2015,02,20,,,,,2015,02,20,224,,https://m.media-amazon.com/images/I/51IG9QQC-TL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062579247,"謎解き・津波と波浪の物理 波長と水深のふしぎな関係 (ブルーバックス)",,,"ONLY ONE","保坂 直紀",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4062579243?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,946,0,,0,2015,07,17,,,,,2015,07,17,224,,https://m.media-amazon.com/images/I/41B9IoNJdaL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062579568,"コーヒーの科学 「おいしさ」はどこで生まれるのか (ブルーバックス)",,,"ONLY ONE","旦部 幸博",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4062579561?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1188,0,,0,2016,02,19,,,,,2016,02,19,320,,https://m.media-amazon.com/images/I/41ybunZpYlL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062586016,"地図入門 (講談社選書メチエ)",,,"ONLY ONE","今尾 恵介",,,,,,,講談社,,,単行本（ソフトカバー）,https://www.amazon.co.jp/dp/4062586010?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1760,0,,0,2015,04,11,,,,,2015,04,11,248,,https://m.media-amazon.com/images/I/51qk8W1sIiL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062882347,"データを紡いで社会につなぐ デジタルアーカイブのつくり方 (講談社現代新書)",,,"ONLY ONE","渡邉 英徳",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4062882345?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,2552,0,,0,2013,11,15,,,,,2013,11,15,272,,https://m.media-amazon.com/images/I/31w1WPxb2EL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062882828,"ふしぎな国道 (講談社現代新書)",,,"ONLY ONE","佐藤 健太郎",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4062882825?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1078,0,,0,2014,10,17,,,,,2014,10,17,256,,https://m.media-amazon.com/images/I/31mO5oTC-RL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062883016,"高層建築物の世界史 (講談社現代新書)",,,"ONLY ONE","大澤 昭彦",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4062883015?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,2523,0,,0,2015,02,19,,,,,2015,02,19,448,,https://m.media-amazon.com/images/I/31yrn2MqOML._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062919524,"酒場の文化史 (講談社学術文庫)",,,"ONLY ONE","海野 弘",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4062919524?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,2695,0,,0,2009,06,10,,,,,2009,06,10,256,,https://m.media-amazon.com/images/I/51zbHzsKpXL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062920957,"ルネサンスの神秘思想 (講談社学術文庫)",,,"ONLY ONE","伊藤 博明",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4062920956?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1904,0,,0,2012,02,10,,,,,2012,02,10,448,,https://m.media-amazon.com/images/I/61SnaICy0HL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062922104,"科学の解釈学 (講談社学術文庫)",,,"ONLY ONE","野家 啓一",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/406292210X?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,2352,0,,0,2013,12,11,,,,,2013,12,11,472,,https://m.media-amazon.com/images/I/41nkdBummhL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062922159,"ローマ五賢帝 「輝ける世紀」の虚像と実像 (講談社学術文庫)",,,"ONLY ONE","南川 高志",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4062922150?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,968,0,,0,2014,01,11,,,,,2014,01,11,256,,https://m.media-amazon.com/images/I/51Hu6UGycoL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062922296,"密教とマンダラ (講談社学術文庫)",,,"ONLY ONE","頼富 本宏",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4062922290?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1045,0,,0,2014,04,11,,,,,2014,04,11,264,,https://m.media-amazon.com/images/I/51xDRDGOJVL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062922555,"古代エジプト 失われた世界の解読 (講談社学術文庫)",,,"ONLY ONE","笈川 博一",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/406292255X?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1100,0,,0,2014,09,11,,,,,2014,09,11,256,,https://m.media-amazon.com/images/I/61dhz8mUHDL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062923088,"有閑階級の理論 増補新訂版 (講談社学術文庫)",,,"ONLY ONE",ソースティン・ヴェブレン,,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4062923084?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1408,0,,0,2015,07,11,,,,,2015,07,11,432,,https://m.media-amazon.com/images/I/41nRBKtz5zL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062924375,"比較史の方法 (講談社学術文庫)",,,"ONLY ONE",マルク・ブロック,,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4062924374?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,660,0,,0,2017,07,11,,,,,2017,07,11,136,,https://m.media-amazon.com/images/I/51LTyQ-T8uL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062924641,"バロックの光と闇 (講談社学術文庫)",,,"ONLY ONE","高階 秀爾",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4062924641?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1243,0,,0,2017,11,11,,,,,2017,11,11,344,,https://m.media-amazon.com/images/I/51RMMAvxELL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062924665,"興亡の世界史 地中海世界とローマ帝国 (講談社学術文庫)",,,11,"本村 凌二",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4062924668?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1496,0,,0,2017,09,12,,,,,2017,09,12,400,,https://m.media-amazon.com/images/I/518NX-3YNvL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062924689,"興亡の世界史 東インド会社とアジアの海 (講談社学術文庫)",,,13,"羽田 正",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4062924684?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1408,0,,0,2017,11,11,,,,,2017,11,11,416,,https://m.media-amazon.com/images/I/51cyYGrX4+L._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065020159,"三つの石で地球がわかる 岩石がひもとくこの星のなりたち (ブルーバックス)",,,"ONLY ONE","藤岡 換太郎",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4065020158?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1012,0,,0,2017,05,17,,,,,2017,05,17,224,,https://m.media-amazon.com/images/I/5153+wphJCL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065020296,"生命を支えるATPエネルギー メカニズムから医療への応用まで (ブルーバックス)",,,"ONLY ONE","二井 將光",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4065020298?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1100,0,,0,2017,09,20,,,,,2017,09,20,240,,https://m.media-amazon.com/images/I/51TBtgFJU2L._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065020418,"時計の科学 人と時間の5000年の歴史 (ブルーバックス)",,,"ONLY ONE","織田 一朗",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4065020417?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1078,0,,0,2017,12,14,,,,,2017,12,14,240,,https://m.media-amazon.com/images/I/519RVRo0FEL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065020562,"新しい1キログラムの測り方 科学が進めば単位が変わる (ブルーバックス)",,,"ONLY ONE","臼田 孝",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4065020565?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1100,0,,0,2018,04,18,,,,,2018,04,18,256,,https://m.media-amazon.com/images/I/411SKvpfXUL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065152164,"植物たちの戦争 病原体との5億年サバイバルレース (ブルーバックス)",,,"ONLY ONE",日本植物病理学会,,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/406515216X?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1100,0,,0,2019,03,13,,,,,2019,03,13,264,,https://m.media-amazon.com/images/I/41dCnYTZoML._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065192436,"地磁気逆転と「チバニアン」 地球の磁場は、なぜ逆転するのか (ブルーバックス)",,,"ONLY ONE","菅沼 悠介",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4065192439?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1210,0,,0,2020,03,18,,,,,2020,03,18,258,,https://m.media-amazon.com/images/I/51BNQI7UVKL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065195970,"生命はデジタルでできている 情報から見た新しい生命像 (ブルーバックス)",,,"ONLY ONE","田口 善弘",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4065195977?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1100,0,,0,2020,05,21,,,,,2020,05,21,224,,https://m.media-amazon.com/images/I/51pgxiDfoJL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065212615,"中国の歴史1 神話から歴史へ 神話時代 夏王朝 (講談社学術文庫)",,,1,"宮本 一夫",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4065212618?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1485,0,,0,2020,10,09,,,,,2020,10,09,480,,https://m.media-amazon.com/images/I/51Z-0AB1UuL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065212622,"中国の歴史2 都市国家から中華へ 殷周 春秋戦国 (講談社学術文庫)",,,2,"平勢 隆郎",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4065212626?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1705,0,,0,2020,10,09,,,,,2020,10,09,536,,https://m.media-amazon.com/images/I/51OPOpgOF0L._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065215678,"中国の歴史3 ファーストエンペラーの遺産 秦漢帝国 (講談社学術文庫)",,,3,"鶴間 和幸",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4065215676?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1760,0,,0,2020,11,12,,,,,2020,11,12,576,,https://m.media-amazon.com/images/I/41R2aFS9TZL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065215685,"中国の歴史4 三国志の世界 後漢 三国時代 (講談社学術文庫)",,,4,"金 文京",,,,,,,講談社,,,単行本,https://www.amazon.co.jp/dp/4065215684?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1430,0,,0,2020,11,12,,,,,2020,11,12,440,,https://m.media-amazon.com/images/I/5141fY06YcL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065219065,"中国の歴史5 中華の崩壊と拡大 魏晋南北朝 (講談社学術文庫)",,,5,"川本 芳昭",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/406521906X?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1430,0,,0,2020,12,11,,,,,2020,12,11,432,,https://m.media-amazon.com/images/I/51PbXwAgeOL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065219072,"中国の歴史6 絢爛たる世界帝国 隋唐時代 (講談社学術文庫)",,,6,"氣賀澤 保規",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4065219078?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1485,0,,0,2020,12,11,,,,,2020,12,11,472,,https://m.media-amazon.com/images/I/51jhNooSWvL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065219515,"認知バイアス 心に潜むふしぎな働き (ブルーバックス)",,,"ONLY ONE","鈴木 宏昭",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4065219515?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1100,0,,0,2020,10,22,,,,,2020,10,22,264,,https://m.media-amazon.com/images/I/41g8EBydhzL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065221433,"中国の歴史7 中国思想と宗教の奔流 宋朝 (講談社学術文庫)",,,7,"小島 毅",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4065221439?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1430,0,,0,2021,01,12,,,,,2021,01,12,432,,https://m.media-amazon.com/images/I/41Jn4mrmi7L._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065223109,"中国の歴史8 疾駆する草原の征服者 遼 西夏 金 元 (講談社学術文庫)",,,8,"杉山 正明",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4065223105?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1430,0,,0,2021,02,12,,,,,2021,02,12,448,,https://m.media-amazon.com/images/I/4164kEcfwHL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065223840,"地図づくりの現在形 地球を測り、図を描く (講談社選書メチエ)",,,"ONLY ONE","宇根 寛",,,,,,,講談社,,,単行本（ソフトカバー）,https://www.amazon.co.jp/dp/4065223849?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1870,0,,0,2021,01,12,,,,,2021,01,12,256,,https://m.media-amazon.com/images/I/51+lUHEvQsL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065224403,"フォン・ノイマンの哲学 人間のフリをした悪魔 (講談社現代新書)",,,"ONLY ONE","高橋 昌一郎",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4065224403?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1034,0,,0,2021,02,17,,,,,2021,02,17,272,,https://m.media-amazon.com/images/I/41InfRPrfVL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065227770,"中国の歴史9 海と帝国 明清時代 (講談社学術文庫)",,,9,"上田 信",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4065227771?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1815,0,,0,2021,03,11,,,,,2021,03,11,616,,https://m.media-amazon.com/images/I/51DtEAntapL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065228395,"科学史・科学哲学入門 (講談社学術文庫)",,,"ONLY ONE","村上 陽一郎",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4065228395?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,924,0,,0,2021,03,11,,,,,2021,03,11,192,,https://m.media-amazon.com/images/I/51OFcu6+dsL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4065230947,"中国の歴史10 ラストエンペラーと近代中国 清末 中華民国 (講談社学術文庫)",,,10,"菊池 秀明",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4065230942?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1485,0,,0,2021,04,15,,,,,2021,04,15,464,,https://m.media-amazon.com/images/I/51VeM+iewAL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4074436835,おうちで一流レストランの味になるロジカル洋食,,,"ONLY ONE",前田量子,,,,,,,主婦の友社,,,単行本,https://www.amazon.co.jp/dp/4074436833?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1518,0,,0,2020,09,29,,,,,2020,09,29,111,,https://m.media-amazon.com/images/I/51rozZw0WgL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4140912652,"ローマ史再考: なぜ「首都」コンスタンティノープルが生まれたのか (NHKブックス 1265)",,,"ONLY ONE","田中 創",,,,,,,NHK出版,,,単行本,https://www.amazon.co.jp/dp/4140912650?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1540,0,,0,2020,08,27,,,,,2020,08,27,254,,https://m.media-amazon.com/images/I/51J6EvcBEhL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4480068651,"中学生からの数学「超」入門: 起源をたどれば思考がわかる (ちくま新書)",,,"ONLY ONE","永野 裕之",,,,,,,筑摩書房,,,新書,https://www.amazon.co.jp/dp/4480068651?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,880,0,,0,2015,12,07,,,,,2015,12,07,225,,https://m.media-amazon.com/images/I/41zVSEPiPyL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4480071651,"国際法 (ちくま新書)",,,"ONLY ONE","保昭， 大沼",,,,,,,筑摩書房,,,新書,https://www.amazon.co.jp/dp/4480071652?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1210,0,,0,2018,12,06,,,,,2018,12,06,413,,https://m.media-amazon.com/images/I/31xEFmBDpQL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4480090409,"甲陽軍鑑 (ちくま学芸文庫)",,,"ONLY ONE","正英， 佐藤",,,,,,,筑摩書房,,,文庫,https://www.amazon.co.jp/dp/4480090401?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1540,0,,0,2006,12,01,,,,,2006,12,01,401,,https://m.media-amazon.com/images/I/61wWvmTJ2uL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4480852519,ヴェニスの商人の資本論,,,"ONLY ONE","岩井 克人",,,,,,,筑摩書房,,,単行本,https://www.amazon.co.jp/dp/4480852514?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,483,0,,0,1985,01,,,,,,1985,01,,288,,https://m.media-amazon.com/images/I/11S5HB1TTXL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
