ISBN,タイトル,タイトルカナ,サブタイトル,巻,作者1,作者1カナ,作者2,作者2カナ,その他の作者,分類コード,分類,発行所,レーベル,シリーズ,サイズ,リンク,備考1,備考2,,購入/未購入,定価,消費税,購入価格,消費税,初版発行日:年,初版発行日:月,初版発行日:日,版,発行:年,発行:月,発行:日,発売予定日:年,発売予定日:月,発売予定日:日,ページ数,内容,画像,備考1,備考2,,保管場所,貸出場所,貸出日:年,貸出日:月,貸出日:日,既読/未読,読書開始日:年,読書開始日:月,読書開始日:日,読書終了日:年,読書終了日:月,読書終了日:日,備考1:年,備考1:月,備考1:日,備考2:年,備考2:月,備考2:日,備考3:年,備考3:月,備考3:日,備考4:年,備考4:月,備考4:日,備考5,備考6,備考7,,,
978-4041087992,"カノジョに浮気されていた俺が、小悪魔な後輩に懐かれています (角川スニーカー文庫)",,,"ONLY ONE","御宮 ゆう",,,,,,,KADOKAWA,,,文庫,https://www.amazon.co.jp/dp/4041087996?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,704,0,,0,2019,12,01,,,,,2019,12,01,312,,https://m.media-amazon.com/images/I/51GiWDICy+L._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4052052279,メイクロックマン　史上最大のプログラミング,,,"ONLY ONE",学研,,,,,,,学研プラス,,,単行本,https://www.amazon.co.jp/dp/4052052277?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,2750,0,,0,2020,11,05,,,,,2020,11,05,211,,https://m.media-amazon.com/images/I/51Un9PhiwzL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4061495876,"傭兵の二千年史 (講談社現代新書)",,,"ONLY ONE","菊池 良生",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4061495879?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,990,0,,0,2002,01,18,,,,,2002,01,18,232,,https://m.media-amazon.com/images/I/415PH46K6TL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4061497016,"はじめての言語学 (講談社現代新書)",,,"ONLY ONE","黒田 龍之助",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4061497014?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,946,0,,0,2004,01,21,,,,,2004,01,21,256,,https://m.media-amazon.com/images/I/410Z7B9G5EL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4061587359,"五輪書 (講談社学術文庫)",,,"ONLY ONE","鎌田 茂雄",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4061587358?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1155,0,,0,1986,05,06,,,,,1986,05,06,264,,https://m.media-amazon.com/images/I/415dfbsl7xL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4061594517,"コーヒー・ハウス (講談社学術文庫)",,,"ONLY ONE","小林 章夫",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4061594516?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1265,0,,0,2000,10,10,,,,,2000,10,10,296,,https://m.media-amazon.com/images/I/61DFEC2PYGL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4061597808,"十二世紀ルネサンス (講談社学術文庫)",,,"ONLY ONE","伊東 俊太郎",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4061597809?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1188,0,,0,2006,09,08,,,,,2006,09,08,320,,https://m.media-amazon.com/images/I/51gYADsy1KL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4061598010,"法哲学入門 (講談社学術文庫)",,,"ONLY ONE","長尾 龍一",,,,,,,講談社,,,文庫,https://www.amazon.co.jp/dp/4061598015?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1089,0,,0,2007,01,11,,,,,2007,01,11,280,,https://m.media-amazon.com/images/I/41zqh72knfL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062576246,"コンクリートなんでも小事典―固まるしくみから、強さの秘密まで (ブルーバックス)",,,"ONLY ONE",土木学会関西支部,,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4062576244?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,1320,0,,0,2008,12,19,,,,,2008,12,19,320,,https://m.media-amazon.com/images/I/51al67rImUL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
978-4062576598,"地球環境を映す鏡 南極の科学―氷に覆われた大陸のすべて (ブルーバックス)",,,"ONLY ONE","神沼 克伊",,,,,,,講談社,,,新書,https://www.amazon.co.jp/dp/4062576597?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,834,0,,0,2009,11,20,,,,,2009,11,20,248,,https://m.media-amazon.com/images/I/51l4QDpNMAL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,06,08,,,,,,
