ISBN,タイトル,タイトルカナ,サブタイトル,巻,作者1,作者1カナ,作者2,作者2カナ,その他の作者,分類コード,分類,発行所,レーベル,シリーズ,サイズ,リンク,備考1,備考2,,購入/未購入,定価,消費税,購入価格,消費税,初版発行日:年,初版発行日:月,初版発行日:日,版,発行:年,発行:月,発行:日,発売予定日:年,発売予定日:月,発売予定日:日,ページ数,内容,画像,備考1,備考2,,保管場所,貸出場所,貸出日:年,貸出日:月,貸出日:日,既読/未読,読書開始日:年,読書開始日:月,読書開始日:日,読書終了日:年,読書終了日:月,読書終了日:日,備考1:年,備考1:月,備考1:日,備考2:年,備考2:月,備考2:日,備考3:年,備考3:月,備考3:日,備考4:年,備考4:月,備考4:日,備考5,備考6,備考7,,,
978-4774184111,"改訂新版JavaScript本格入門 ~モダンスタイルによる基礎から現場での応用まで",,,"ONLY ONE","山田 祥寛",,,,,,,技術評論社,,,大型本,https://www.amazon.co.jp/dp/477418411X?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,3278,0,,0,2016,09,30,,,,,2016,09,30,456,,https://m.media-amazon.com/images/I/51AvRbVdAsL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,09,20,,,,,,
978-4774190877,"現場で役立つシステム設計の原則 ~変更を楽で安全にするオブジェクト指向の実践技法",,,"ONLY ONE","増田 亨",,,,,,,技術評論社,,,単行本（ソフトカバー）,https://www.amazon.co.jp/dp/477419087X?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,3234,0,,0,2017,07,05,,,,,2017,07,05,320,,https://m.media-amazon.com/images/I/51fm-EVWsnL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,09,20,,,,,,
978-4774193038,アプリケーションアーキテクチャ設計パターン,,,"ONLY ONE","三菱UFJインフォメーションテクノロジー株式会社 斉藤 賢哉",,,,,,,技術評論社,,,大型本,https://www.amazon.co.jp/dp/4774193038?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,3850,0,,0,2017,10,12,,,,,2017,10,12,528,,https://m.media-amazon.com/images/I/51fHYN0hjNL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,09,20,,,,,,
978-4873119595,"並行プログラミング入門 ―Rust、C、アセンブリによる実装からのアプローチ",,,"ONLY ONE","高野 祐輝",,,,,,,オライリージャパン,,,単行本（ソフトカバー）,https://www.amazon.co.jp/dp/4873119596?tag=ekakinscribbl-22&linkCode=ogi&th=1&psc=1,,,,購入,3520,0,,0,2021,08,24,,,,,2021,08,24,384,,https://m.media-amazon.com/images/I/51K8e3rXTQL._SL500_.jpg,,,0,,,,,,未読,,,,,,,,,,,,,,,,2021,09,20,,,,,,
